Edad,Género,Carrera,Materias Inscritas,Horas de Estudio por Semana,Asistencia (%),Uso de Plataforma Virtual,Promedio (GPA),Trabajo,Acceso a Internet
26,Femenino,Medicina,8,16,81.7,Microsoft Teams,1.75,Sí,Sí
20,Femenino,Comunicación Social,6,27,69.5,Google Classroom,2.55,Sí,Sí
30,Masculino,Contaduría Pública,8,24,72.1,Google Classroom,2.13,Sí,Sí
32,Masculino,Arquitectura,6,8,88.4,Zoom,2.06,No,Sí
31,Femenino,Medicina,4,22,87.5,Canvas,2.54,Sí,Sí
24,No binario,Psicología,4,21,86.8,Moodle,2.41,No,Sí
30,Femenino,Mercadotecnia,4,20,78.5,Moodle,2.82,Sí,Sí
24,Masculino,Ingeniería en Sistemas,5,17,80.5,Microsoft Teams,1.98,No,Sí
32,Masculino,Ingeniería en Sistemas,5,22,81.5,Zoom,2.32,Sí,Sí
29,Masculino,Ingeniería en Sistemas,7,22,68.2,Microsoft Teams,2.13,No,Sí
34,Femenino,Mercadotecnia,7,13,100,Moodle,2.43,Sí,Sí
31,Masculino,Arquitectura,7,21,98,Google Classroom,2.63,No,Sí
29,Femenino,Contaduría Pública,5,16,89.9,Canvas,2.4,Sí,Sí
25,Masculino,Medicina,5,7,71.6,Zoom,1.83,No,Sí
31,Femenino,Mercadotecnia,7,14,86.1,Google Classroom,2.55,Sí,No
29,Femenino,Psicología,7,7,92.7,Canvas,2.35,Sí,Sí
17,Femenino,Contaduría Pública,8,24,59.7,Zoom,1.69,Sí,Sí
23,Masculino,Psicología,7,20,100,Zoom,3,No,Sí
25,Masculino,Contaduría Pública,8,15,51.9,Moodle,1.84,No,Sí
17,Masculino,Arquitectura,6,27,88.6,Google Classroom,2.77,No,Sí
28,Femenino,Comunicación Social,5,18,99.8,Zoom,3.3,Sí,No
24,Femenino,Psicología,7,7,76.3,Blackboard,2.16,Sí,Sí
27,Femenino,Mercadotecnia,5,14,75.7,Zoom,2.08,No,Sí
35,Femenino,Contaduría Pública,5,29,88,Canvas,2.87,Sí,Sí
33,Femenino,Ingeniería en Sistemas,5,13,100,Moodle,3.07,No,Sí
24,Masculino,Turismo,6,19,73.8,Microsoft Teams,2.31,No,Sí
19,Femenino,Enfermería,4,23,66.3,Moodle,2.37,No,Sí
19,Masculino,Ingeniería en Sistemas,7,22,71.6,Microsoft Teams,2.43,No,Sí
17,Masculino,Administración de Empresas,4,35,54.7,Google Classroom,3.34,No,Sí
21,Femenino,Comunicación Social,4,9,91.5,Google Classroom,2.17,Sí,Sí
26,Masculino,Comunicación Social,4,10,70.3,Zoom,1.84,No,Sí
23,Masculino,Ingeniería en Sistemas,5,9,74.9,Blackboard,1.65,Sí,Sí
25,Femenino,Medicina,8,15,91.6,Google Classroom,2.38,Sí,Sí
23,Masculino,Arquitectura,5,25,72.3,Zoom,2.25,Sí,Sí
25,Femenino,Psicología,5,10,89.4,Moodle,1.99,Sí,No
24,Masculino,Mercadotecnia,4,25,62.4,Google Classroom,1.82,No,Sí
28,Masculino,Comunicación Social,5,18,92.4,Moodle,2.91,Sí,Sí
18,Masculino,Ingeniería en Sistemas,4,10,83.1,Moodle,2.15,No,No
17,Masculino,Ingeniería en Sistemas,8,5,76.7,Blackboard,1.83,No,No
32,Femenino,Arquitectura,7,7,80,Google Classroom,1.9,No,Sí
21,Masculino,Arquitectura,4,13,58.7,Moodle,1.77,Sí,Sí
19,Femenino,Derecho,8,16,79.6,Blackboard,2.79,No,Sí
28,Femenino,Derecho,7,27,75.9,Blackboard,2.49,No,Sí
24,Femenino,Medicina,6,23,59.1,Google Classroom,2.29,Sí,Sí
19,Femenino,Turismo,4,12,67.9,Blackboard,1.97,No,Sí
17,Femenino,Turismo,4,20,76.1,Google Classroom,2.75,No,Sí
19,Masculino,Medicina,6,29,68.9,Google Classroom,2.8,Sí,Sí
21,Masculino,Administración de Empresas,6,31,41.8,Microsoft Teams,2.36,No,No
31,Masculino,Medicina,4,15,94.1,Moodle,2.17,Sí,Sí
30,Femenino,Contaduría Pública,6,24,75.9,Canvas,2.34,Sí,Sí
19,Masculino,Arquitectura,5,27,43.9,Google Classroom,1.73,No,Sí
17,Femenino,Turismo,7,7,100,Moodle,1.57,No,No
21,Femenino,Mercadotecnia,7,14,96.6,Blackboard,2.67,No,Sí
30,Masculino,Contaduría Pública,7,33,72.8,Zoom,2.84,Sí,Sí
23,Femenino,Psicología,5,15,65.4,Google Classroom,2.09,Sí,Sí
25,Masculino,Ingeniería en Sistemas,6,3,84,Blackboard,1.82,Sí,No
31,Masculino,Medicina,8,17,81,Blackboard,2.45,Sí,Sí
31,Femenino,Ingeniería en Sistemas,6,25,86.1,Blackboard,3.23,No,Sí
26,Femenino,Comunicación Social,4,18,65.4,Blackboard,2.11,Sí,Sí
29,Femenino,Administración de Empresas,7,23,94.5,Blackboard,3.11,No,Sí
35,Masculino,Comunicación Social,6,24,70.9,Google Classroom,2.39,Sí,Sí
23,Masculino,Administración de Empresas,8,15,88.2,Canvas,2.68,Sí,No
33,Femenino,Derecho,4,14,66,Microsoft Teams,1.57,Sí,No
20,Femenino,Ingeniería en Sistemas,5,19,100,Blackboard,2.29,No,Sí
21,Femenino,Administración de Empresas,5,19,88.4,Blackboard,3.24,No,Sí
23,Masculino,Ingeniería Industrial,8,18,100,Microsoft Teams,3.35,No,Sí
29,Femenino,Turismo,4,18,90.4,Google Classroom,2.02,No,Sí
31,Masculino,Ingeniería Industrial,7,12,69.6,Moodle,1.91,No,Sí
27,Masculino,Ingeniería Industrial,6,23,90.4,Zoom,2.88,No,Sí
20,Femenino,Enfermería,4,22,91.5,Zoom,3.02,No,Sí
29,Masculino,Turismo,5,8,83.6,Moodle,2.55,Sí,Sí
23,Femenino,Contaduría Pública,8,15,87.5,Google Classroom,2.1,Sí,Sí
35,Masculino,Administración de Empresas,8,18,89.4,Zoom,2.29,No,Sí
18,Masculino,Administración de Empresas,6,14,63.1,Microsoft Teams,1.88,No,Sí
26,Femenino,Contaduría Pública,8,22,62,Moodle,1.93,No,Sí
29,Femenino,Ingeniería en Sistemas,8,17,66.1,Canvas,1.5,Sí,Sí
22,Femenino,Ingeniería en Sistemas,4,19,79.9,Google Classroom,2.37,No,No
28,Femenino,Ingeniería Industrial,7,15,74.7,Moodle,2.42,No,Sí
28,Femenino,Contaduría Pública,6,4,63.4,Zoom,1.5,Sí,No
27,Femenino,Turismo,4,3,89.6,Google Classroom,2.11,Sí,No
23,Femenino,Ingeniería Industrial,7,22,82.2,Microsoft Teams,2.77,No,Sí
17,Masculino,Comunicación Social,4,19,80.5,Google Classroom,2.15,No,Sí
17,Femenino,Enfermería,4,21,74.1,Google Classroom,2.44,No,Sí
29,Masculino,Mercadotecnia,8,18,72.3,Microsoft Teams,1.79,No,No
25,No binario,Psicología,7,19,65.4,Blackboard,2,Sí,No
19,Femenino,Enfermería,6,24,92,Microsoft Teams,2.92,No,Sí
23,Masculino,Ingeniería en Sistemas,6,21,67.4,Google Classroom,2.28,No,Sí
22,Femenino,Mercadotecnia,7,25,81.1,Microsoft Teams,2.35,Sí,Sí
24,Femenino,Derecho,8,19,100,Blackboard,2.52,Sí,Sí
25,Masculino,Medicina,5,15,73,Moodle,2.21,Sí,Sí
21,Femenino,Ingeniería Industrial,4,19,92.4,Microsoft Teams,2.94,No,Sí
17,Femenino,Administración de Empresas,8,12,86.5,Microsoft Teams,2.2,Sí,Sí
35,Masculino,Contaduría Pública,7,15,82.7,Google Classroom,2.24,No,Sí
26,Femenino,Contaduría Pública,4,19,84.5,Moodle,2.81,Sí,Sí
28,Masculino,Administración de Empresas,6,19,76.6,Canvas,2.14,Sí,Sí
31,Femenino,Ingeniería Industrial,5,17,78.5,Canvas,2.84,Sí,No
25,No binario,Medicina,6,8,69.8,Zoom,1.5,Sí,Sí
33,Femenino,Psicología,7,22,78.6,Microsoft Teams,2.86,Sí,Sí
33,Femenino,Medicina,4,23,69.2,Microsoft Teams,2.57,Sí,Sí
28,Femenino,Mercadotecnia,7,29,93.1,Moodle,3.87,Sí,Sí
23,Femenino,Medicina,4,21,52.5,Blackboard,1.65,Sí,Sí
18,Masculino,Mercadotecnia,8,18,85.2,Canvas,1.8,Sí,Sí
19,Femenino,Medicina,5,10,83,Zoom,2.48,No,Sí
33,Masculino,Psicología,8,28,81.7,Moodle,2.44,Sí,Sí
21,Femenino,Psicología,8,19,93.4,Microsoft Teams,2.9,Sí,Sí
33,Masculino,Ingeniería en Sistemas,7,19,73.7,Canvas,2.67,No,Sí
33,Masculino,Administración de Empresas,5,16,81.8,Zoom,2.46,Sí,Sí
33,Masculino,Psicología,4,15,52.3,Google Classroom,1.78,No,Sí
18,Femenino,Mercadotecnia,4,22,71.8,Canvas,2.53,No,Sí
18,Masculino,Psicología,6,10,90.8,Zoom,2.51,Sí,Sí
21,Femenino,Ingeniería en Sistemas,4,29,57.9,Moodle,2.62,No,Sí
17,Masculino,Contaduría Pública,7,27,80.4,Google Classroom,2.44,No,Sí
17,Masculino,Mercadotecnia,8,15,67.8,Zoom,2.57,No,Sí
35,Femenino,Ingeniería en Sistemas,8,11,76.3,Zoom,2.03,Sí,Sí
18,Femenino,Comunicación Social,8,3,68.7,Microsoft Teams,1.66,No,Sí
28,Masculino,Comunicación Social,5,9,59.3,Blackboard,1.8,No,Sí
22,Femenino,Derecho,4,23,83.8,Canvas,3.05,Sí,No
20,Femenino,Medicina,7,20,77.3,Microsoft Teams,2.75,No,No
27,Femenino,Administración de Empresas,5,21,87.2,Google Classroom,2.72,Sí,Sí
33,Masculino,Arquitectura,6,5,89.9,Blackboard,2.04,Sí,No
22,Masculino,Enfermería,7,15,96.4,Zoom,2.72,No,Sí
21,Femenino,Ingeniería en Sistemas,7,27,80,Microsoft Teams,3.13,No,Sí
18,Masculino,Contaduría Pública,7,17,97,Blackboard,2.36,Sí,Sí
22,Femenino,Enfermería,8,9,63.4,Canvas,1.86,Sí,No
27,Femenino,Contaduría Pública,7,17,91.6,Google Classroom,2.32,No,Sí
32,Femenino,Turismo,4,12,84.9,Moodle,2.79,No,Sí
32,Femenino,Turismo,7,20,81.5,Microsoft Teams,2.63,Sí,Sí
17,No binario,Turismo,8,18,84.7,Google Classroom,2.37,No,Sí
25,Masculino,Enfermería,7,21,63.6,Moodle,2.33,Sí,Sí
22,Femenino,Ingeniería en Sistemas,6,9,60,Microsoft Teams,1.6,Sí,Sí
32,Masculino,Arquitectura,6,14,100,Google Classroom,2.57,Sí,Sí
19,Femenino,Enfermería,8,25,75.5,Google Classroom,2.08,No,Sí
20,Femenino,Ingeniería en Sistemas,4,8,75.3,Blackboard,1.55,Sí,Sí
35,Femenino,Psicología,4,10,61.5,Microsoft Teams,1.63,No,Sí
19,No binario,Arquitectura,5,19,55.8,Google Classroom,1.5,No,Sí
35,Femenino,Turismo,8,20,76.7,Zoom,2.25,Sí,Sí
23,Masculino,Mercadotecnia,7,14,72.9,Microsoft Teams,1.93,Sí,No
25,Masculino,Contaduría Pública,8,16,78,Google Classroom,2.04,Sí,Sí
17,Femenino,Turismo,5,21,79.3,Blackboard,2.75,No,Sí
24,Masculino,Comunicación Social,8,23,100,Moodle,2.76,No,Sí
23,Masculino,Medicina,8,10,72.9,Moodle,1.93,Sí,Sí
34,Masculino,Comunicación Social,5,20,100,Zoom,2.78,Sí,No
24,Masculino,Turismo,4,28,100,Microsoft Teams,3.21,Sí,Sí
17,Masculino,Arquitectura,7,17,89.3,Blackboard,3.02,No,Sí
27,Masculino,Mercadotecnia,5,10,74.5,Google Classroom,1.99,Sí,Sí
34,Masculino,Contaduría Pública,6,10,57.6,Google Classroom,1.71,Sí,Sí
26,Masculino,Mercadotecnia,4,16,85.2,Moodle,2.19,Sí,Sí
19,No binario,Enfermería,6,25,93.3,Blackboard,3.16,No,Sí
23,Masculino,Contaduría Pública,4,17,100,Zoom,2.93,No,Sí
32,Masculino,Turismo,7,19,63.8,Moodle,2.27,No,Sí
32,Femenino,Enfermería,7,11,74.3,Moodle,1.61,Sí,Sí
33,Masculino,Ingeniería en Sistemas,8,24,63.8,Zoom,2.17,Sí,Sí
18,Femenino,Arquitectura,6,9,68.5,Microsoft Teams,2.2,Sí,Sí
17,Femenino,Ingeniería Industrial,4,14,88,Google Classroom,2.18,No,Sí
32,Masculino,Ingeniería en Sistemas,7,22,67.8,Microsoft Teams,2.8,Sí,Sí
28,Masculino,Derecho,5,3,65.6,Blackboard,1.5,Sí,Sí
21,Femenino,Mercadotecnia,7,19,90,Canvas,2.69,Sí,Sí
21,Femenino,Ingeniería Industrial,5,10,84.8,Canvas,2.08,Sí,Sí
25,Femenino,Enfermería,4,18,83.3,Canvas,2.21,Sí,Sí
25,Femenino,Psicología,7,15,68.2,Zoom,1.78,Sí,Sí
19,Masculino,Ingeniería en Sistemas,7,32,97.4,Moodle,3.16,No,Sí
35,No binario,Derecho,4,15,78.2,Microsoft Teams,2.28,Sí,Sí
32,Masculino,Administración de Empresas,7,30,100,Google Classroom,3.6,Sí,Sí
32,Femenino,Ingeniería Industrial,5,22,80.4,Canvas,2.61,Sí,Sí
19,Femenino,Comunicación Social,7,12,43,Microsoft Teams,1.5,No,Sí
17,Femenino,Contaduría Pública,6,20,42.3,Canvas,2.1,No,Sí
27,Femenino,Derecho,8,15,87.4,Canvas,2.43,No,Sí
33,Masculino,Arquitectura,5,19,97.5,Google Classroom,2.63,Sí,Sí
24,Masculino,Ingeniería Industrial,6,13,66.2,Blackboard,1.6,No,No
20,Masculino,Ingeniería en Sistemas,4,29,100,Blackboard,3.67,No,Sí
22,Masculino,Arquitectura,5,24,100,Blackboard,2.97,Sí,Sí
24,Femenino,Comunicación Social,8,18,81.2,Zoom,2.25,No,Sí
19,Masculino,Psicología,8,30,86.1,Moodle,2.86,No,Sí
32,Masculino,Mercadotecnia,4,18,91.4,Zoom,2.99,Sí,Sí
19,Femenino,Mercadotecnia,4,25,100,Microsoft Teams,2.94,Sí,Sí
34,Femenino,Turismo,5,18,88.2,Zoom,2.86,Sí,No
30,Femenino,Arquitectura,7,20,80.8,Microsoft Teams,2.44,Sí,Sí
34,No binario,Enfermería,4,17,88.1,Microsoft Teams,2.16,Sí,Sí
18,Masculino,Psicología,7,18,86.1,Moodle,2.42,No,Sí
19,Masculino,Mercadotecnia,6,19,91.9,Google Classroom,2.67,No,Sí
32,Femenino,Psicología,8,13,54.4,Moodle,1.63,Sí,Sí
25,Femenino,Derecho,7,15,82.7,Blackboard,2.28,No,Sí
20,Masculino,Psicología,8,16,84.9,Blackboard,2.31,No,Sí
17,Femenino,Medicina,7,19,76.9,Zoom,2.15,Sí,Sí
20,Masculino,Comunicación Social,6,17,89.8,Microsoft Teams,2.55,No,Sí
17,Masculino,Mercadotecnia,4,26,100,Canvas,3.32,No,Sí
30,Femenino,Psicología,6,23,80.1,Canvas,2.19,Sí,Sí
32,Femenino,Arquitectura,4,16,88.4,Microsoft Teams,2.87,No,No
24,Femenino,Administración de Empresas,4,27,100,Moodle,2.09,No,Sí
23,Masculino,Medicina,8,31,80.4,Google Classroom,3.01,No,Sí
19,Femenino,Medicina,6,3,64.7,Moodle,1.57,No,Sí
33,Masculino,Enfermería,7,24,87.2,Microsoft Teams,2.63,No,Sí
17,Masculino,Psicología,6,13,45,Microsoft Teams,1.5,No,No
32,Femenino,Turismo,8,23,43.5,Google Classroom,1.86,No,Sí
28,Femenino,Enfermería,4,26,83,Zoom,2.87,Sí,Sí
35,Femenino,Enfermería,8,11,42.8,Zoom,1.5,Sí,Sí
30,Femenino,Administración de Empresas,5,5,58.3,Google Classroom,1.5,Sí,No
22,Femenino,Derecho,5,23,72.3,Zoom,2.76,Sí,Sí
22,Femenino,Psicología,7,18,67.2,Canvas,2.18,No,Sí
29,Masculino,Ingeniería en Sistemas,8,6,75.8,Zoom,1.5,Sí,Sí
35,Masculino,Mercadotecnia,7,35,94.7,Zoom,3.58,Sí,No
24,Masculino,Enfermería,7,22,81.6,Zoom,2.33,No,Sí
18,Masculino,Comunicación Social,5,22,65.4,Canvas,2.05,No,Sí
17,Femenino,Contaduría Pública,7,27,98.3,Zoom,3.23,Sí,Sí
31,Femenino,Comunicación Social,5,13,56.6,Blackboard,1.74,Sí,Sí
17,Masculino,Administración de Empresas,4,18,81.3,Canvas,2.31,No,Sí
21,Masculino,Administración de Empresas,8,8,54.9,Google Classroom,1.5,Sí,No
32,Femenino,Arquitectura,7,13,81.8,Moodle,2.14,No,Sí
35,Masculino,Derecho,5,20,73.2,Google Classroom,2.12,Sí,No
20,Femenino,Turismo,6,6,94.2,Moodle,2.48,No,Sí
19,Femenino,Mercadotecnia,7,13,88.8,Google Classroom,1.88,No,Sí
33,Femenino,Ingeniería Industrial,4,11,69.2,Blackboard,1.8,Sí,Sí
33,Femenino,Enfermería,4,18,66.3,Moodle,1.69,Sí,Sí
28,Femenino,Comunicación Social,6,22,73.3,Moodle,2.72,Sí,Sí
30,Masculino,Contaduría Pública,5,23,100,Microsoft Teams,2.95,Sí,Sí
22,Femenino,Administración de Empresas,7,24,100,Moodle,2.75,No,Sí
19,Femenino,Administración de Empresas,5,27,63.5,Moodle,2.68,Sí,Sí
25,Masculino,Derecho,4,22,90,Microsoft Teams,2.09,Sí,No
21,Femenino,Contaduría Pública,5,31,52,Zoom,2.5,No,Sí
33,Femenino,Contaduría Pública,4,18,71.3,Zoom,2.57,Sí,Sí
30,Femenino,Derecho,5,16,64.1,Microsoft Teams,2.05,Sí,Sí
19,Femenino,Administración de Empresas,6,22,94,Canvas,2.71,No,Sí
17,Femenino,Mercadotecnia,8,16,58.6,Moodle,1.51,No,Sí
17,Femenino,Psicología,6,30,84.4,Moodle,3.35,Sí,No
19,Femenino,Psicología,6,25,78,Microsoft Teams,2.95,No,Sí
34,Femenino,Derecho,8,23,75.4,Microsoft Teams,2.34,Sí,Sí
26,Femenino,Contaduría Pública,8,18,100,Canvas,2.61,Sí,Sí
19,Femenino,Enfermería,7,15,100,Blackboard,3.02,No,Sí
24,Femenino,Derecho,7,22,75.8,Zoom,2.65,Sí,Sí
30,Masculino,Mercadotecnia,6,10,72.8,Google Classroom,1.5,No,Sí
34,Femenino,Derecho,6,28,55.4,Blackboard,2.29,No,Sí
31,Femenino,Medicina,4,16,77.9,Zoom,2.2,No,Sí
18,Masculino,Comunicación Social,4,20,100,Moodle,2.96,No,Sí
26,Femenino,Contaduría Pública,7,11,76.1,Blackboard,2.01,Sí,Sí
18,Masculino,Turismo,7,23,88.9,Microsoft Teams,2.65,No,Sí
33,Masculino,Arquitectura,4,14,57,Canvas,1.82,Sí,No
24,Femenino,Arquitectura,4,22,71.5,Zoom,2.27,Sí,Sí
17,Masculino,Contaduría Pública,5,23,84.9,Canvas,3.74,No,No
25,Femenino,Turismo,5,13,79.6,Zoom,2.21,Sí,Sí
27,Femenino,Ingeniería Industrial,4,10,90.4,Blackboard,2.25,Sí,Sí
32,Femenino,Mercadotecnia,5,28,69,Moodle,3.18,No,Sí
23,Masculino,Medicina,8,16,51.8,Google Classroom,1.5,Sí,Sí
26,Masculino,Medicina,7,19,94.8,Canvas,2.71,Sí,Sí
19,Femenino,Administración de Empresas,7,21,64,Canvas,1.93,Sí,Sí
34,No binario,Comunicación Social,4,9,85.6,Google Classroom,2.3,Sí,Sí
29,Femenino,Psicología,6,21,84.8,Canvas,2.48,Sí,Sí
23,Masculino,Ingeniería en Sistemas,4,18,53,Canvas,2.03,Sí,Sí
20,Femenino,Mercadotecnia,5,13,93.7,Zoom,2.6,No,Sí
29,Femenino,Ingeniería en Sistemas,6,9,69.5,Zoom,2.02,No,Sí
17,Femenino,Ingeniería en Sistemas,5,22,78.8,Google Classroom,2.71,No,No
24,Masculino,Contaduría Pública,8,25,72.6,Moodle,2.5,No,Sí
30,Femenino,Arquitectura,5,19,100,Blackboard,2.43,No,Sí
32,Femenino,Arquitectura,8,7,98.2,Blackboard,2.58,Sí,Sí
30,Femenino,Psicología,8,10,50.8,Canvas,1.88,Sí,Sí
28,Masculino,Contaduría Pública,5,14,100,Moodle,2.34,Sí,Sí
35,Femenino,Ingeniería en Sistemas,5,28,67.8,Google Classroom,2.82,Sí,Sí
31,Femenino,Turismo,8,16,100,Google Classroom,2.36,No,Sí
18,Masculino,Ingeniería Industrial,6,14,74.2,Zoom,2.17,No,Sí
18,Femenino,Enfermería,8,6,72.9,Canvas,1.85,No,Sí
35,Femenino,Arquitectura,7,13,74.3,Microsoft Teams,1.94,Sí,Sí
33,Masculino,Mercadotecnia,8,9,72,Google Classroom,1.87,Sí,Sí
26,Masculino,Turismo,6,10,100,Canvas,2.7,No,Sí
22,Femenino,Mercadotecnia,7,18,76.9,Moodle,2.31,No,Sí
31,Masculino,Administración de Empresas,4,15,73.5,Zoom,1.93,No,Sí
27,Femenino,Derecho,4,29,79.2,Blackboard,2.51,No,No
21,Masculino,Enfermería,6,25,63.5,Moodle,2.26,No,Sí
17,Femenino,Arquitectura,8,13,100,Google Classroom,2.23,No,Sí
24,Masculino,Medicina,5,11,55.9,Google Classroom,1.5,No,Sí
28,Femenino,Arquitectura,6,27,68.8,Moodle,2.44,Sí,Sí
28,No binario,Turismo,7,29,92,Google Classroom,3.37,Sí,No
21,Femenino,Administración de Empresas,7,3,78.6,Canvas,1.73,No,Sí
23,Femenino,Mercadotecnia,4,18,86.2,Google Classroom,3.29,Sí,Sí
20,Masculino,Ingeniería en Sistemas,7,16,100,Zoom,2.11,No,Sí
22,Femenino,Medicina,6,22,93.1,Canvas,2.93,Sí,Sí
29,Masculino,Contaduría Pública,7,31,80.1,Microsoft Teams,2.84,No,Sí
31,Masculino,Comunicación Social,6,14,100,Google Classroom,2.34,Sí,Sí
19,Masculino,Ingeniería en Sistemas,5,3,68.6,Google Classroom,1.5,No,Sí
24,Femenino,Comunicación Social,4,22,76.5,Zoom,2.48,No,Sí
32,Femenino,Enfermería,7,27,77.5,Zoom,3.07,Sí,Sí
29,Femenino,Ingeniería Industrial,6,15,76.5,Blackboard,2.22,Sí,Sí
34,Masculino,Derecho,8,13,62,Moodle,1.61,Sí,No
26,Masculino,Ingeniería Industrial,4,14,54.2,Moodle,1.81,No,Sí
35,No binario,Medicina,5,23,84.3,Moodle,2.64,Sí,Sí
33,Masculino,Psicología,6,14,68.5,Zoom,1.65,Sí,Sí
35,Femenino,Medicina,5,20,100,Moodle,2.81,Sí,Sí
21,Masculino,Ingeniería Industrial,5,18,76.9,Moodle,2.41,No,Sí
25,Femenino,Arquitectura,7,17,74.2,Microsoft Teams,2.26,No,Sí
28,Femenino,Turismo,7,22,94.4,Moodle,2.96,Sí,Sí
17,Masculino,Mercadotecnia,6,14,84,Google Classroom,2.14,No,Sí
17,Masculino,Arquitectura,8,14,75.4,Blackboard,2.23,No,Sí
31,Femenino,Arquitectura,6,23,68.4,Zoom,2.43,Sí,Sí
18,Femenino,Turismo,8,11,100,Canvas,2.53,No,Sí
32,Masculino,Turismo,5,11,83.4,Blackboard,2.17,Sí,No
24,Femenino,Enfermería,4,9,94.3,Microsoft Teams,2.94,No,Sí
29,Masculino,Ingeniería en Sistemas,6,23,62.7,Zoom,2.61,Sí,Sí
17,Masculino,Psicología,6,17,69.3,Zoom,2.23,No,Sí
