edad,genero,carrera,materias_inscritas,horas_estudio_semana,asistencia,uso_plataformas,gpa,trabajo,internet
30,M,Contaduría Pública,8,24,72.1,Google Classroom,2.13,1,1
32,M,Arquitectura,6,8,88.4,Zoom,2.06,0,1
31,F,Medicina,4,22,87.5,Canvas,2.54,1,1
24,No binario,Psicología,4,21,86.8,Moodle,2.41,0,1
30,F,Mercadotecnia,4,20,78.5,Moodle,2.82,1,1
24,M,Ingeniería en Sistemas,5,17,80.5,Microsoft Teams,1.98,0,1
32,M,Ingeniería en Sistemas,5,22,81.5,Zoom,2.32,1,1
29,M,Ingeniería en Sistemas,7,22,68.2,Microsoft Teams,2.13,0,1
34,F,Mercadotecnia,7,13,100.0,Moodle,2.43,1,1
31,M,Arquitectura,7,21,98.0,Google Classroom,2.63,0,1
29,F,Contaduría Pública,5,16,89.9,Canvas,2.4,1,1
25,M,Medicina,5,7,71.6,Zoom,1.83,0,1
31,F,Mercadotecnia,7,14,86.1,Google Classroom,2.55,1,0
29,F,Psicología,7,7,92.7,Canvas,2.35,1,1
17,F,Contaduría Pública,8,24,59.7,Zoom,1.69,1,1
23,M,Psicología,7,20,100.0,Zoom,3.0,0,1
25,M,Contaduría Pública,8,15,51.9,Moodle,1.84,0,1
17,M,Arquitectura,6,27,88.6,Google Classroom,2.77,0,1
28,F,Comunicación Social,5,18,99.8,Zoom,3.3,1,0
24,F,Psicología,7,7,76.3,Blackboard,2.16,1,1
27,F,Mercadotecnia,5,14,75.7,Zoom,2.08,0,1
35,F,Contaduría Pública,5,29,88.0,Canvas,2.87,1,1
33,F,Ingeniería en Sistemas,5,13,100.0,Moodle,3.07,0,1
24,M,Turismo,6,19,73.8,Microsoft Teams,2.31,0,1
19,F,Enfermería,4,23,66.3,Moodle,2.37,0,1
19,M,Ingeniería en Sistemas,7,22,71.6,Microsoft Teams,2.43,0,1
17,M,Administración de Empresas,4,35,54.7,Google Classroom,3.34,0,1
21,F,Comunicación Social,4,9,91.5,Google Classroom,2.17,1,1
26,M,Comunicación Social,4,10,70.3,Zoom,1.84,0,1
23,M,Ingeniería en Sistemas,5,9,74.9,Blackboard,1.65,1,1
25,F,Medicina,8,15,91.6,Google Classroom,2.38,1,1
23,M,Arquitectura,5,25,72.3,Zoom,2.25,1,1
25,F,Psicología,5,10,89.4,Moodle,1.99,1,0
24,M,Mercadotecnia,4,25,62.4,Google Classroom,1.82,0,1
28,M,Comunicación Social,5,18,92.4,Moodle,2.91,1,1
18,M,Ingeniería en Sistemas,4,10,83.1,Moodle,2.15,0,0
17,M,Ingeniería en Sistemas,8,5,76.7,Blackboard,1.83,0,0
32,F,Arquitectura,7,7,80.0,Google Classroom,1.9,0,1
21,M,Arquitectura,4,13,58.7,Moodle,1.77,1,1
19,F,Derecho,8,16,79.6,Blackboard,2.79,0,1
28,F,Derecho,7,27,75.9,Blackboard,2.49,0,1
24,F,Medicina,6,23,59.1,Google Classroom,2.29,1,1
19,F,Turismo,4,12,67.9,Blackboard,1.97,0,1
17,F,Turismo,4,20,76.1,Google Classroom,2.75,0,1
19,M,Medicina,6,29,68.9,Google Classroom,2.8,1,1
21,M,Administración de Empresas,6,31,41.8,Microsoft Teams,2.36,0,0
31,M,Medicina,4,15,94.1,Moodle,2.17,1,1
30,F,Contaduría Pública,6,24,75.9,Canvas,2.34,1,1
19,M,Arquitectura,5,27,43.9,Google Classroom,1.73,0,1
17,F,Turismo,7,7,100.0,Moodle,1.57,0,0
21,F,Mercadotecnia,7,14,96.6,Blackboard,2.67,0,1
30,M,Contaduría Pública,7,33,72.8,Zoom,2.84,1,1
23,F,Psicología,5,15,65.4,Google Classroom,2.09,1,1
25,M,Ingeniería en Sistemas,6,3,84.0,Blackboard,1.82,1,0
31,M,Medicina,8,17,81.0,Blackboard,2.45,1,1
31,F,Ingeniería en Sistemas,6,25,86.1,Blackboard,3.23,0,1
26,F,Comunicación Social,4,18,65.4,Blackboard,2.11,1,1
29,F,Administración de Empresas,7,23,94.5,Blackboard,3.11,0,1
35,M,Comunicación Social,6,24,70.9,Google Classroom,2.39,1,1
23,M,Administración de Empresas,8,15,88.2,Canvas,2.68,1,0
33,F,Derecho,4,14,66.0,Microsoft Teams,1.57,1,0
20,F,Ingeniería en Sistemas,5,19,100.0,Blackboard,2.29,0,1
21,F,Administración de Empresas,5,19,88.4,Blackboard,3.24,0,1
23,M,Ingeniería Industrial,8,18,100.0,Microsoft Teams,3.35,0,1
29,F,Turismo,4,18,90.4,Google Classroom,2.02,0,1
31,M,Ingeniería Industrial,7,12,69.6,Moodle,1.91,0,1
27,M,Ingeniería Industrial,6,23,90.4,Zoom,2.88,0,1
20,F,Enfermería,4,22,91.5,Zoom,3.02,0,1
29,M,Turismo,5,8,83.6,Moodle,2.55,1,1
23,F,Contaduría Pública,8,15,87.5,Google Classroom,2.1,1,1
35,M,Administración de Empresas,8,18,89.4,Zoom,2.29,0,1
18,M,Administración de Empresas,6,14,63.1,Microsoft Teams,1.88,0,1
26,F,Contaduría Pública,8,22,62.0,Moodle,1.93,0,1
29,F,Ingeniería en Sistemas,8,17,66.1,Canvas,1.5,1,1
22,F,Ingeniería en Sistemas,4,19,79.9,Google Classroom,2.37,0,0
28,F,Ingeniería Industrial,7,15,74.7,Moodle,2.42,0,1
28,F,Contaduría Pública,6,4,63.4,Zoom,1.5,1,0
27,F,Turismo,4,3,89.6,Google Classroom,2.11,1,0
23,F,Ingeniería Industrial,7,22,82.2,Microsoft Teams,2.77,0,1
17,M,Comunicación Social,4,19,80.5,Google Classroom,2.15,0,1
17,F,Enfermería,4,21,74.1,Google Classroom,2.44,0,1
29,M,Mercadotecnia,8,18,72.3,Microsoft Teams,1.79,0,0
25,No binario,Psicología,7,19,65.4,Blackboard,2.0,1,0
19,F,Enfermería,6,24,92.0,Microsoft Teams,2.92,0,1
23,M,Ingeniería en Sistemas,6,21,67.4,Google Classroom,2.28,0,1
22,F,Mercadotecnia,7,25,81.1,Microsoft Teams,2.35,1,1
24,F,Derecho,8,19,100.0,Blackboard,2.52,1,1
25,M,Medicina,5,15,73.0,Moodle,2.21,1,1
21,F,Ingeniería Industrial,4,19,92.4,Microsoft Teams,2.94,0,1
17,F,Administración de Empresas,8,12,86.5,Microsoft Teams,2.2,1,1
35,M,Contaduría Pública,7,15,82.7,Google Classroom,2.24,0,1
26,F,Contaduría Pública,4,19,84.5,Moodle,2.81,1,1
28,M,Administración de Empresas,6,19,76.6,Canvas,2.14,1,1
31,F,Ingeniería Industrial,5,17,78.5,Canvas,2.84,1,0
25,No binario,Medicina,6,8,69.8,Zoom,1.5,1,1
33,F,Psicología,7,22,78.6,Microsoft Teams,2.86,1,1
33,F,Medicina,4,23,69.2,Microsoft Teams,2.57,1,1
28,F,Mercadotecnia,7,29,93.1,Moodle,3.87,1,1
23,F,Medicina,4,21,52.5,Blackboard,1.65,1,1
18,M,Mercadotecnia,8,18,85.2,Canvas,1.8,1,1
19,F,Medicina,5,10,83.0,Zoom,2.48,0,1
33,M,Psicología,8,28,81.7,Moodle,2.44,1,1
21,F,Psicología,8,19,93.4,Microsoft Teams,2.9,1,1
33,M,Ingeniería en Sistemas,7,19,73.7,Canvas,2.67,0,1
33,M,Administración de Empresas,5,16,81.8,Zoom,2.46,1,1
33,M,Psicología,4,15,52.3,Google Classroom,1.78,0,1
18,F,Mercadotecnia,4,22,71.8,Canvas,2.53,0,1
18,M,Psicología,6,10,90.8,Zoom,2.51,1,1
21,F,Ingeniería en Sistemas,4,29,57.9,Moodle,2.62,0,1
17,M,Contaduría Pública,7,27,80.4,Google Classroom,2.44,0,1
17,M,Mercadotecnia,8,15,67.8,Zoom,2.57,0,1
35,F,Ingeniería en Sistemas,8,11,76.3,Zoom,2.03,1,1
18,F,Comunicación Social,8,3,68.7,Microsoft Teams,1.66,0,1
28,M,Comunicación Social,5,9,59.3,Blackboard,1.8,0,1
22,F,Derecho,4,23,83.8,Canvas,3.05,1,0
20,F,Medicina,7,20,77.3,Microsoft Teams,2.75,0,0
27,F,Administración de Empresas,5,21,87.2,Google Classroom,2.72,1,1
33,M,Arquitectura,6,5,89.9,Blackboard,2.04,1,0
22,M,Enfermería,7,15,96.4,Zoom,2.72,0,1
21,F,Ingeniería en Sistemas,7,27,80.0,Microsoft Teams,3.13,0,1
18,M,Contaduría Pública,7,17,97.0,Blackboard,2.36,1,1
22,F,Enfermería,8,9,63.4,Canvas,1.86,1,0
27,F,Contaduría Pública,7,17,91.6,Google Classroom,2.32,0,1
32,F,Turismo,4,12,84.9,Moodle,2.79,0,1
32,F,Turismo,7,20,81.5,Microsoft Teams,2.63,1,1
17,No binario,Turismo,8,18,84.7,Google Classroom,2.37,0,1
25,M,Enfermería,7,21,63.6,Moodle,2.33,1,1
22,F,Ingeniería en Sistemas,6,9,60.0,Microsoft Teams,1.6,1,1
32,M,Arquitectura,6,14,100.0,Google Classroom,2.57,1,1
19,F,Enfermería,8,25,75.5,Google Classroom,2.08,0,1
20,F,Ingeniería en Sistemas,4,8,75.3,Blackboard,1.55,1,1
35,F,Psicología,4,10,61.5,Microsoft Teams,1.63,0,1
19,No binario,Arquitectura,5,19,55.8,Google Classroom,1.5,0,1
35,F,Turismo,8,20,76.7,Zoom,2.25,1,1
23,M,Mercadotecnia,7,14,72.9,Microsoft Teams,1.93,1,0
25,M,Contaduría Pública,8,16,78.0,Google Classroom,2.04,1,1
17,F,Turismo,5,21,79.3,Blackboard,2.75,0,1
24,M,Comunicación Social,8,23,100.0,Moodle,2.76,0,1
23,M,Medicina,8,10,72.9,Moodle,1.93,1,1
34,M,Comunicación Social,5,20,100.0,Zoom,2.78,1,0
24,M,Turismo,4,28,100.0,Microsoft Teams,3.21,1,1
17,M,Arquitectura,7,17,89.3,Blackboard,3.02,0,1
27,M,Mercadotecnia,5,10,74.5,Google Classroom,1.99,1,1
34,M,Contaduría Pública,6,10,57.6,Google Classroom,1.71,1,1
26,M,Mercadotecnia,4,16,85.2,Moodle,2.19,1,1
19,No binario,Enfermería,6,25,93.3,Blackboard,3.16,0,1
23,M,Contaduría Pública,4,17,100.0,Zoom,2.93,0,1
32,M,Turismo,7,19,63.8,Moodle,2.27,0,1
32,F,Enfermería,7,11,74.3,Moodle,1.61,1,1
33,M,Ingeniería en Sistemas,8,24,63.8,Zoom,2.17,1,1
18,F,Arquitectura,6,9,68.5,Microsoft Teams,2.2,1,1
17,F,Ingeniería Industrial,4,14,88.0,Google Classroom,2.18,0,1
32,M,Ingeniería en Sistemas,7,22,67.8,Microsoft Teams,2.8,1,1
28,M,Derecho,5,3,65.6,Blackboard,1.5,1,1
21,F,Mercadotecnia,7,19,90.0,Canvas,2.69,1,1
21,F,Ingeniería Industrial,5,10,84.8,Canvas,2.08,1,1
25,F,Enfermería,4,18,83.3,Canvas,2.21,1,1
25,F,Psicología,7,15,68.2,Zoom,1.78,1,1
19,M,Ingeniería en Sistemas,7,32,97.4,Moodle,3.16,0,1
35,No binario,Derecho,4,15,78.2,Microsoft Teams,2.28,1,1
32,M,Administración de Empresas,7,30,100.0,Google Classroom,3.6,1,1
32,F,Ingeniería Industrial,5,22,80.4,Canvas,2.61,1,1
19,F,Comunicación Social,7,12,43.0,Microsoft Teams,1.5,0,1
17,F,Contaduría Pública,6,20,42.3,Canvas,2.1,0,1
27,F,Derecho,8,15,87.4,Canvas,2.43,0,1
33,M,Arquitectura,5,19,97.5,Google Classroom,2.63,1,1
24,M,Ingeniería Industrial,6,13,66.2,Blackboard,1.6,0,0
20,M,Ingeniería en Sistemas,4,29,100.0,Blackboard,3.67,0,1
22,M,Arquitectura,5,24,100.0,Blackboard,2.97,1,1
24,F,Comunicación Social,8,18,81.2,Zoom,2.25,0,1
19,M,Psicología,8,30,86.1,Moodle,2.86,0,1
32,M,Mercadotecnia,4,18,91.4,Zoom,2.99,1,1
19,F,Mercadotecnia,4,25,100.0,Microsoft Teams,2.94,1,1
34,F,Turismo,5,18,88.2,Zoom,2.86,1,0
30,F,Arquitectura,7,20,80.8,Microsoft Teams,2.44,1,1
34,No binario,Enfermería,4,17,88.1,Microsoft Teams,2.16,1,1
18,M,Psicología,7,18,86.1,Moodle,2.42,0,1
19,M,Mercadotecnia,6,19,91.9,Google Classroom,2.67,0,1
32,F,Psicología,8,13,54.4,Moodle,1.63,1,1
25,F,Derecho,7,15,82.7,Blackboard,2.28,0,1
20,M,Psicología,8,16,84.9,Blackboard,2.31,0,1
17,F,Medicina,7,19,76.9,Zoom,2.15,1,1
20,M,Comunicación Social,6,17,89.8,Microsoft Teams,2.55,0,1
17,M,Mercadotecnia,4,26,100.0,Canvas,3.32,0,1
30,F,Psicología,6,23,80.1,Canvas,2.19,1,1
32,F,Arquitectura,4,16,88.4,Microsoft Teams,2.87,0,0
24,F,Administración de Empresas,4,27,100.0,Moodle,2.09,0,1
23,M,Medicina,8,31,80.4,Google Classroom,3.01,0,1
19,F,Medicina,6,3,64.7,Moodle,1.57,0,1
33,M,Enfermería,7,24,87.2,Microsoft Teams,2.63,0,1
17,M,Psicología,6,13,45.0,Microsoft Teams,1.5,0,0
32,F,Turismo,8,23,43.5,Google Classroom,1.86,0,1
28,F,Enfermería,4,26,83.0,Zoom,2.87,1,1
35,F,Enfermería,8,11,42.8,Zoom,1.5,1,1
30,F,Administración de Empresas,5,5,58.3,Google Classroom,1.5,1,0
22,F,Derecho,5,23,72.3,Zoom,2.76,1,1
22,F,Psicología,7,18,67.2,Canvas,2.18,0,1
29,M,Ingeniería en Sistemas,8,6,75.8,Zoom,1.5,1,1
35,M,Mercadotecnia,7,35,94.7,Zoom,3.58,1,0
24,M,Enfermería,7,22,81.6,Zoom,2.33,0,1
18,M,Comunicación Social,5,22,65.4,Canvas,2.05,0,1
17,F,Contaduría Pública,7,27,98.3,Zoom,3.23,1,1
31,F,Comunicación Social,5,13,56.6,Blackboard,1.74,1,1
17,M,Administración de Empresas,4,18,81.3,Canvas,2.31,0,1
21,M,Administración de Empresas,8,8,54.9,Google Classroom,1.5,1,0
32,F,Arquitectura,7,13,81.8,Moodle,2.14,0,1
35,M,Derecho,5,20,73.2,Google Classroom,2.12,1,0
20,F,Turismo,6,6,94.2,Moodle,2.48,0,1
19,F,Mercadotecnia,7,13,88.8,Google Classroom,1.88,0,1
33,F,Ingeniería Industrial,4,11,69.2,Blackboard,1.8,1,1
33,F,Enfermería,4,18,66.3,Moodle,1.69,1,1
28,F,Comunicación Social,6,22,73.3,Moodle,2.72,1,1
30,M,Contaduría Pública,5,23,100.0,Microsoft Teams,2.95,1,1
22,F,Administración de Empresas,7,24,100.0,Moodle,2.75,0,1
19,F,Administración de Empresas,5,27,63.5,Moodle,2.68,1,1
25,M,Derecho,4,22,90.0,Microsoft Teams,2.09,1,0
21,F,Contaduría Pública,5,31,52.0,Zoom,2.5,0,1
33,F,Contaduría Pública,4,18,71.3,Zoom,2.57,1,1
30,F,Derecho,5,16,64.1,Microsoft Teams,2.05,1,1
19,F,Administración de Empresas,6,22,94.0,Canvas,2.71,0,1
17,F,Mercadotecnia,8,16,58.6,Moodle,1.51,0,1
17,F,Psicología,6,30,84.4,Moodle,3.35,1,0
19,F,Psicología,6,25,78.0,Microsoft Teams,2.95,0,1
34,F,Derecho,8,23,75.4,Microsoft Teams,2.34,1,1
26,F,Contaduría Pública,8,18,100.0,Canvas,2.61,1,1
19,F,Enfermería,7,15,100.0,Blackboard,3.02,0,1
24,F,Derecho,7,22,75.8,Zoom,2.65,1,1
30,M,Mercadotecnia,6,10,72.8,Google Classroom,1.5,0,1
34,F,Derecho,6,28,55.4,Blackboard,2.29,0,1
31,F,Medicina,4,16,77.9,Zoom,2.2,0,1
18,M,Comunicación Social,4,20,100.0,Moodle,2.96,0,1
26,F,Contaduría Pública,7,11,76.1,Blackboard,2.01,1,1
18,M,Turismo,7,23,88.9,Microsoft Teams,2.65,0,1
33,M,Arquitectura,4,14,57.0,Canvas,1.82,1,0
24,F,Arquitectura,4,22,71.5,Zoom,2.27,1,1
17,M,Contaduría Pública,5,23,84.9,Canvas,3.74,0,0
25,F,Turismo,5,13,79.6,Zoom,2.21,1,1
27,F,Ingeniería Industrial,4,10,90.4,Blackboard,2.25,1,1
32,F,Mercadotecnia,5,28,69.0,Moodle,3.18,0,1
23,M,Medicina,8,16,51.8,Google Classroom,1.5,1,1
26,M,Medicina,7,19,94.8,Canvas,2.71,1,1
19,F,Administración de Empresas,7,21,64.0,Canvas,1.93,1,1
34,No binario,Comunicación Social,4,9,85.6,Google Classroom,2.3,1,1
29,F,Psicología,6,21,84.8,Canvas,2.48,1,1
23,M,Ingeniería en Sistemas,4,18,53.0,Canvas,2.03,1,1
20,F,Mercadotecnia,5,13,93.7,Zoom,2.6,0,1
29,F,Ingeniería en Sistemas,6,9,69.5,Zoom,2.02,0,1
17,F,Ingeniería en Sistemas,5,22,78.8,Google Classroom,2.71,0,0
24,M,Contaduría Pública,8,25,72.6,Moodle,2.5,0,1
30,F,Arquitectura,5,19,100.0,Blackboard,2.43,0,1
32,F,Arquitectura,8,7,98.2,Blackboard,2.58,1,1
30,F,Psicología,8,10,50.8,Canvas,1.88,1,1
28,M,Contaduría Pública,5,14,100.0,Moodle,2.34,1,1
35,F,Ingeniería en Sistemas,5,28,67.8,Google Classroom,2.82,1,1
31,F,Turismo,8,16,100.0,Google Classroom,2.36,0,1
18,M,Ingeniería Industrial,6,14,74.2,Zoom,2.17,0,1
18,F,Enfermería,8,6,72.9,Canvas,1.85,0,1
35,F,Arquitectura,7,13,74.3,Microsoft Teams,1.94,1,1
33,M,Mercadotecnia,8,9,72.0,Google Classroom,1.87,1,1
26,M,Turismo,6,10,100.0,Canvas,2.7,0,1
22,F,Mercadotecnia,7,18,76.9,Moodle,2.31,0,1
31,M,Administración de Empresas,4,15,73.5,Zoom,1.93,0,1
27,F,Derecho,4,29,79.2,Blackboard,2.51,0,0
21,M,Enfermería,6,25,63.5,Moodle,2.26,0,1
17,F,Arquitectura,8,13,100.0,Google Classroom,2.23,0,1
24,M,Medicina,5,11,55.9,Google Classroom,1.5,0,1
28,F,Arquitectura,6,27,68.8,Moodle,2.44,1,1
28,No binario,Turismo,7,29,92.0,Google Classroom,3.37,1,0
21,F,Administración de Empresas,7,3,78.6,Canvas,1.73,0,1
23,F,Mercadotecnia,4,18,86.2,Google Classroom,3.29,1,1
20,M,Ingeniería en Sistemas,7,16,100.0,Zoom,2.11,0,1
22,F,Medicina,6,22,93.1,Canvas,2.93,1,1
29,M,Contaduría Pública,7,31,80.1,Microsoft Teams,2.84,0,1
31,M,Comunicación Social,6,14,100.0,Google Classroom,2.34,1,1
19,M,Ingeniería en Sistemas,5,3,68.6,Google Classroom,1.5,0,1
24,F,Comunicación Social,4,22,76.5,Zoom,2.48,0,1
32,F,Enfermería,7,27,77.5,Zoom,3.07,1,1
29,F,Ingeniería Industrial,6,15,76.5,Blackboard,2.22,1,1
34,M,Derecho,8,13,62.0,Moodle,1.61,1,0
26,M,Ingeniería Industrial,4,14,54.2,Moodle,1.81,0,1
35,No binario,Medicina,5,23,84.3,Moodle,2.64,1,1
33,M,Psicología,6,14,68.5,Zoom,1.65,1,1
35,F,Medicina,5,20,100.0,Moodle,2.81,1,1
21,M,Ingeniería Industrial,5,18,76.9,Moodle,2.41,0,1
25,F,Arquitectura,7,17,74.2,Microsoft Teams,2.26,0,1
28,F,Turismo,7,22,94.4,Moodle,2.96,1,1
17,M,Mercadotecnia,6,14,84.0,Google Classroom,2.14,0,1
17,M,Arquitectura,8,14,75.4,Blackboard,2.23,0,1
31,F,Arquitectura,6,23,68.4,Zoom,2.43,1,1
18,F,Turismo,8,11,100.0,Canvas,2.53,0,1
32,M,Turismo,5,11,83.4,Blackboard,2.17,1,0
24,F,Enfermería,4,9,94.3,Microsoft Teams,2.94,0,1
29,M,Ingeniería en Sistemas,6,23,62.7,Zoom,2.61,1,1
17,M,Psicología,6,17,69.3,Zoom,2.23,0,1
32,F,Psicología,8,8,100.0,Google Classroom,2.12,0,1
23,M,Arquitectura,5,23,99.0,Blackboard,2.91,0,1
21,F,Comunicación Social,5,14,84.9,Blackboard,2.8,1,1
19,M,Enfermería,8,11,72.3,Moodle,1.77,0,1
28,M,Arquitectura,5,16,74.5,Google Classroom,2.15,0,1
32,No binario,Derecho,7,28,67.9,Moodle,2.54,0,1
35,M,Mercadotecnia,4,15,60.6,Moodle,1.99,1,0
21,F,Turismo,6,22,91.9,Zoom,2.68,1,1
30,M,Ingeniería en Sistemas,4,23,86.1,Blackboard,2.8,1,1
21,M,Contaduría Pública,6,21,89.0,Moodle,2.59,0,1
31,M,Turismo,7,26,72.9,Microsoft Teams,3.01,0,1
33,F,Derecho,5,13,81.8,Microsoft Teams,2.01,1,1
30,M,Comunicación Social,8,10,71.5,Blackboard,2.17,1,1
21,F,Medicina,7,10,67.1,Microsoft Teams,1.61,0,1
28,F,Medicina,4,16,100.0,Zoom,2.45,1,1
32,F,Ingeniería Industrial,8,11,79.8,Google Classroom,1.87,1,0
32,M,Derecho,5,19,85.6,Canvas,2.04,1,1
23,F,Ingeniería Industrial,7,18,90.5,Moodle,2.74,1,1
20,F,Arquitectura,8,25,80.0,Canvas,2.36,0,1
17,F,Contaduría Pública,7,20,81.6,Google Classroom,2.41,0,1
21,F,Administración de Empresas,7,15,61.7,Google Classroom,2.13,1,1
26,F,Turismo,5,20,64.6,Zoom,2.4,1,1
21,F,Administración de Empresas,6,10,63.8,Microsoft Teams,1.5,1,1
20,M,Comunicación Social,8,17,87.1,Microsoft Teams,2.59,0,1
18,M,Arquitectura,5,20,79.1,Google Classroom,2.81,1,1
26,F,Psicología,7,18,64.6,Zoom,1.9,1,1
35,F,Turismo,5,20,86.7,Zoom,2.78,0,1
17,F,Ingeniería Industrial,6,13,86.2,Blackboard,1.96,1,1
21,F,Psicología,8,26,67.6,Moodle,2.62,1,1
29,M,Ingeniería en Sistemas,6,30,77.6,Microsoft Teams,2.92,1,1
20,M,Contaduría Pública,4,6,86.2,Google Classroom,2.19,0,1
32,F,Contaduría Pública,8,9,65.1,Blackboard,1.88,0,1
32,M,Medicina,6,18,86.5,Canvas,2.12,1,1
18,M,Enfermería,7,16,82.5,Microsoft Teams,2.4,0,1
33,F,Turismo,8,31,63.0,Moodle,3.07,1,1
28,M,Ingeniería Industrial,8,19,81.3,Zoom,1.81,0,0
34,F,Comunicación Social,5,27,83.5,Google Classroom,3.16,1,1
19,M,Administración de Empresas,7,3,68.6,Microsoft Teams,1.99,0,1
17,F,Comunicación Social,4,23,69.8,Canvas,1.97,0,1
17,M,Psicología,6,12,62.9,Moodle,1.59,0,1
35,F,Psicología,5,12,71.3,Moodle,2.11,0,1
27,M,Derecho,6,16,77.8,Blackboard,2.0,0,1
21,M,Ingeniería en Sistemas,4,8,69.8,Microsoft Teams,2.16,1,1
28,M,Turismo,4,21,55.7,Canvas,2.37,1,0
19,F,Contaduría Pública,8,19,67.7,Moodle,1.78,1,0
17,F,Mercadotecnia,4,19,71.7,Google Classroom,2.06,0,1
17,M,Ingeniería Industrial,6,24,90.3,Moodle,3.1,0,1
24,F,Comunicación Social,7,28,86.9,Canvas,3.2,1,1
26,F,Ingeniería Industrial,7,15,90.5,Zoom,3.14,0,1
27,F,Psicología,8,21,66.9,Zoom,2.01,0,1
28,M,Enfermería,6,20,80.1,Blackboard,2.93,1,1
29,F,Medicina,6,20,41.7,Microsoft Teams,1.5,0,1
28,M,Administración de Empresas,4,20,84.4,Canvas,2.73,0,1
30,M,Ingeniería en Sistemas,6,29,87.2,Blackboard,3.3,1,1
18,No binario,Enfermería,5,14,72.7,Moodle,1.5,0,1
35,M,Ingeniería en Sistemas,4,7,82.4,Moodle,2.23,0,1
